,IPnum,IPval,slope,EDF,Fval,pval,pFDR
D_AUD,0,0,-0.0390796272461478,1.00000000000005,0.298096088148082,0.586000035634167,0.586000035634167
D_CBL,0,0,0.12113943789014,1.00000000015393,2.62038822966715,0.107848778764089,0.175254265491645
D_CON,1,2.16,0.36525943874724,1.91258200206793,2.38142267505276,0.0952087977801196,0.175254265491645
D_DAN,1,2.35,0.409851808301568,1.94251837951317,2.87855340618546,0.0471373585389565,0.102130943501072
D_DMN,1,2.25,0.971993318819137,2.37734500971943,8.1063026229028,0.000157454877978138,0.00204691341371579
D_FPN,1,1.98,0.637325953260537,2.18388714532644,6.35826754581035,0.00291919055498806,0.0189747386074224
D_MEM,0,0,0.157458831825201,1.00000000015393,4.51931258429652,0.0353411660753388,0.0918870317958809
D_SAL,0,0,-0.0905477182513012,1.00000000014073,1.52780492076984,0.218611932645333,0.284195512438933
D_SMH,0,0,-0.0462000023691197,0.999999999999999,0.480271371886918,0.48951405706155,0.530306895150013
D_SMM,0,0,-0.0781118588147992,1,1.18413361138943,0.27849892627227,0.32913509468541
D_SUB,0,0,-0.103784110611908,1.00000000012876,2.09602621907392,0.150020595362953,0.216696415524265
D_VAN,0,0,0.189536099377516,1.00000000000004,7.2795593713998,0.00786513296001844,0.0340822428267466
D_VIS,1,2.32,0.448037435952823,2.00014960433418,3.72259299299126,0.0267873394644757,0.0870588532595459
C_AUD,1,2.07,0.345575856671786,1.87120855693402,2.22721467605413,0.136511486739038,0.221831165950936
C_CBL,1,2.22,0.333232529364811,1.73718236092206,1.83262613598526,0.202937389995616,0.293131785549223
C_CON,0,0,-0.02675235475538,1.53257587059875,0.546679365005941,0.424793853560309,0.460193341357001
C_DAN,1,2.22,0.588724620967594,2.15781163873216,4.83377199762268,0.00949284714966907,0.061703506472849
C_DMN,1,2.22,0.568595067201688,2.06037359159131,4.03514024134988,0.0187951860850183,0.0632359314002528
C_FPN,1,2.07,0.64399165754141,2.23170149103153,5.86069274507414,0.00498979945272214,0.061703506472849
C_MEM,0,0,0.0699664958477738,1.00000000015393,0.863125720508465,0.354549505143151,0.419013051532815
C_SAL,0,0,-0.0801520487289529,1.00000000013411,1.25613713330655,0.264398166928212,0.343717617006676
C_SMH,1,2.26,0.289270784982016,1.91807670581064,2.42105329656197,0.065621549575239,0.142180024079685
C_SMM,0,0,-0.0348053428809208,1.43965284323175,0.378537175520686,0.467556974871717,0.467556974871717
C_SUB,1,2.22,0.462203043199075,2.09470080272309,4.28987622278947,0.0194572096616163,0.0632359314002528
C_VAN,1,2.06,0.413587238523459,1.88275107762702,3.19684494687549,0.0795452734763071,0.147726936455999
C_VIS,1,2.43,0.324327213248951,1.84831071372813,2.36910808273397,0.0626080692469489,0.142180024079685
E_AUD,1,1.99,0.361858567229003,2.08898949592392,2.87741080451525,0.0964589981514628,0.113996997815365
E_CBL,1,2.12,0.594556077488477,2.04287704041091,4.88792406525986,0.00834260984768222,0.0135567410024836
E_CON,1,2.09,0.574502837104911,2.27643386376271,5.80403481769297,0.00711441444191567,0.0132124839635577
E_DAN,1,2.26,0.719859924923761,2.29579191704084,6.56151464769684,0.00151144963931986,0.00629536444441187
E_DMN,1,2.2,1.01352343835977,2.45855564171031,10.2458209494284,2.32801519156631e-05,0.00030264197490362
E_FPN,1,2.03,0.800533656549875,2.35679760589869,8.67682215027829,0.000315063140354942,0.00204791041230713
E_MEM,1,2.09,0.635439723495791,2.09234150730091,5.71179648611021,0.00361553988847359,0.00783366975835945
E_SAL,1,2.28,0.329670686439891,1.90152800456819,2.32720871554183,0.0754901147732229,0.0981371492051897
E_SMH,1,2.27,0.25850409853939,1.75063450865552,1.30942628720632,0.198293840048475,0.214818326719181
E_SMM,1,2.4,0.11329427374021,1.56122255362076,0.621427279286613,0.342883403108388,0.342883403108388
E_SUB,1,2.18,0.505707780880776,2.17750133776406,4.94823372070622,0.0124573805184114,0.0179939940821499
E_VAN,1,1.89,0.641702413602543,2.40996724321051,7.76949184273404,0.00242129401708149,0.00629536444441187
E_VIS,1,2.24,0.68682038557289,2.28293657245752,6.51923367252458,0.0020072158875542,0.00629536444441187
L_AUD,1,2.06,-0.283270029153647,1.95986519996598,1.9299035059869,0.135280133546183,0.135280133546183
L_CBL,1,2.1,-0.560551742336656,1.98635821785507,5.21447732842344,0.0102026076704961,0.0141689309630867
L_CON,1,2.15,-0.631930706018963,2.32408172371821,6.77679326076393,0.00251084803298528,0.00816025610720216
L_DAN,1,2.26,-0.555991173145296,2.15343165861702,4.91321685691303,0.00919187051162851,0.0141689309630867
L_DMN,1,2.16,-0.984879307462943,2.46608666684436,10.5873767171289,2.29025336781243e-05,0.000297732937815617
L_FPN,1,2.04,-0.62236345055338,2.20803099487672,5.91688026213246,0.00449938064532432,0.00974865806486935
L_MEM,1,2.15,-0.673719908833433,2.16223957624735,5.53627877702885,0.0042382750696393,0.00974865806486935
L_SAL,1,2.23,-0.539021016221684,2.16930654010034,5.06995087058049,0.00905046908054535,0.0141689309630867
L_SMH,1,2.22,-0.37922064449924,1.94995162999408,2.70640698271932,0.0627635223287659,0.0741750718430869
L_SMM,1,2.16,-0.263343716571285,1.95345262056223,2.23988327012458,0.0874644856818088,0.0947531928219595
L_SUB,1,2.18,-0.571105572222885,2.16699097038227,4.88450467111382,0.0108991776639129,0.0141689309630867
L_VAN,1,1.89,-0.710209398841432,2.64408932187362,9.39130775325688,0.00142308672577606,0.00616670914502958
L_VIS,1,2.07,-0.755759283387989,2.42808397071422,8.31594909323643,0.00080550588629855,0.00523578826094057
